codice_istat;anno;abitanti
028001;2019;19841
028001;2020;19827
098001;2019;278
098001;2020;275
097001;2019;3200
097001;2020;3200
052001;2019;6277
052001;2020;6239
095001;2019;2626
095001;2020;2599
068001;2019;363
068001;2020;363
015002;2019;32473
015002;2020;32568
047023;2019;2019
047023;2020;2037
076001;2019;1391
076001;2020;1369
088001;2019;10817
088001;2020;10898
071001;2019;2267
071001;2020;2253
004001;2019;160
004001;2020;158
077001;2019;1761
077001;2020;1722
066001;2019;316
066001;2020;310
057001;2019;593
057001;2020;576
076002;2019;2308
076002;2020;2263
065001;2019;2667
065001;2020;2607
063001;2019;59133
063001;2020;59004
087001;2019;3523
087001;2020;3521
087002;2019;17825
087002;2020;17662
087003;2019;27868
087003;2020;27784
087005;2019;17810
087005;2020;17828
087004;2019;51361
087004;2020;51176
060001;2019;255
060001;2020;264
078001;2019;1093
078001;2020;1057
017001;2019;1521
017001;2020;1504
041001;2019;4396
041001;2020;4321
019001;2019;1171
019001;2020;1153
020001;2019;2858
020001;2020;2817
056001;2019;5397
056001;2020;5369
078002;2019;1792
078002;2020;1765
075001;2019;4553
102001;2019;2119
102001;2020;1987
044001;2019;2704
044001;2020;2646
055001;2019;4623
055001;2020;4570
070001;2019;626
070001;2020;605
072001;2019;20259
072001;2020;20189
094001;2019;406
094001;2020;399
044002;2019;3729
044002;2020;3705
085001;2019;920
085001;2020;911
083107;2019;5562
083107;2020;5520
006001;2019;19878
006001;2020;19845
078003;2019;20194
078003;2020;19937
060002;2019;1871
060002;2020;1871
072002;2019;16713
072002;2020;16659
087006;2019;34248
087006;2020;34007
016001;2019;2223
016001;2020;2185
016002;2019;818
016002;2020;809
029001;2019;19209
029001;2020;19015
017002;2019;7126
017002;2020;7195
023001;2019;2358
023001;2020;2365
058001;2019;1473
058001;2020;1464
063002;2019;63072
063002;2020;62808
080001;2019;2987
080001;2020;2911
033001;2019;2019
033001;2020;1999
063003;2019;7686
063003;2020;7691
090001;2019;1468
090001;2020;1440
086001;2019;8012
086001;2020;7916
047002;2019;17846
047002;2020;18100
005001;2019;1589
005001;2020;1578
001001;2019;2634
001001;2020;2621
090062;2019;1240
090062;2020;1183
028002;2019;3244
028002;2020;3227
019002;2019;3896
019002;2020;3885
080002;2019;512
080002;2020;496
094002;2019;4953
094002;2020;4966
017003;2019;1695
017003;2020;1671
025001;2019;4132
025001;2020;4093
058002;2019;1713
058002;2020;1717
012001;2019;386
012001;2020;395
108001;2019;15216
108001;2020;15244
003001;2019;1546
003001;2020;1563
084001;2019;58174
084001;2020;57592
065002;2019;21777
065002;2020;21749
042001;2019;4781
042001;2020;4810
024001;2019;1400
024001;2020;1387
108002;2019;2088
108002;2020;2105
095002;2019;430
095002;2020;413
086002;2019;4628
086002;2020;4522
066002;2019;1459
066002;2020;1460
078004;2019;1604
078004;2020;1578
030001;2019;2222
030001;2020;2203
064001;2019;4004
064001;2020;3990
078005;2019;767
078005;2020;748
061001;2019;1335
061001;2020;1318
096001;2019;320
096001;2020;323
001002;2019;3613
001002;2020;3598
062001;2019;8341
062001;2020;8176
008001;2019;363
008001;2020;348
097002;2019;2829
097002;2020;2783
004002;2019;223
004002;2020;219
022001;2019;8733
022001;2020;8707
090002;2019;1837
090002;2020;1817
001003;2019;442
001003;2020;441
018001;2019;824
018001;2020;812
002002;2019;448
002002;2020;730
068002;2019;3454
068002;2020;3453
025002;2019;2761
025002;2020;2737
009001;2019;10665
009001;2020;10538
060003;2019;27852
060003;2020;27651
004003;2019;31459
004003;2020;31516
067001;2019;12390
067001;2020;12234
095003;2019;248
095003;2020;251
015005;2019;4674
015005;2020;4709
065003;2019;6387
065003;2020;6353
076003;2019;1387
076003;2020;1376
058003;2019;39774
058003;2020;39611
016003;2019;8231
016003;2020;8315
002003;2019;315
002003;2020;305
018002;2019;233
018002;2020;239
023002;2019;5229
023002;2020;5226
014001;2019;290
014001;2020;286
034001;2019;2133
034001;2020;2116
004004;2019;226
004004;2020;232
013003;2019;6338
013003;2020;6373
009002;2019;23533
009002;2020;23524
006002;2019;300
006002;2020;294
072003;2019;10660
072003;2020;10595
071002;2019;915
071002;2020;894
013004;2019;4133
013004;2020;4144
024002;2019;2028
024002;2020;2010
079002;2019;884
079002;2020;868
022002;2019;1490
022002;2020;1490
001004;2019;1642
001004;2020;1644
108003;2019;6293
108003;2020;6328
078006;2019;1265
078006;2020;1243
028003;2019;25699
028003;2020;25874
035001;2019;8835
035001;2020;8840
016004;2019;17750
016004;2020;17768
013005;2019;2698
013005;2020;2689
009004;2019;9921
009004;2020;9800
009003;2019;5308
009003;2020;5286
012002;2019;5225
012002;2020;5222
018003;2019;527
018003;2020;526
014002;2019;3011
014002;2020;3001
005002;2019;506
005002;2020;500
018004;2019;3517
018004;2020;3585
081001;2019;45192
081001;2020;45025
083001;2019;1867
083001;2020;1822
022003;2019;3192
022003;2020;3170
021001;2019;1677
021001;2020;1678
095004;2019;1370
095004;2020;1361
006003;2019;93191
006003;2020;92876
078007;2019;411
078007;2020;384
084002;2019;2751
084002;2020;2675
075002;2019;6352
075002;2020;6253
075003;2019;5616
075003;2020;5676
065004;2019;964
065004;2020;952
066003;2019;935
066003;2020;922
017004;2019;2428
017004;2020;2406
006004;2019;779
006004;2020;744
039001;2019;11834
039001;2020;11707
090003;2019;42760
090003;2020;42580
016248;2019;670
016248;2020;659
083002;2019;724
083002;2020;704
083003;2019;2413
083003;2020;2413
082001;2019;3497
082001;2020;3469
077002;2019;946
077002;2020;904
006005;2019;744
006005;2020;730
002004;2019;2570
002004;2020;2537
001005;2019;707
061002;2019;7442
061002;2020;7438
082002;2019;1908
082002;2020;1909
082003;2019;1152
082003;2020;1129
095005;2019;359
095005;2020;350
025003;2019;1195
025003;2020;1168
007001;2019;213
007001;2020;210
055002;2019;1764
055002;2020;1724
075004;2019;6606
075004;2020;6533
058004;2019;3969
058004;2020;3879
006192;2019;1727
006192;2020;1682
016005;2019;5526
016005;2020;5533
016006;2019;6291
016006;2020;6353
016007;2019;5704
016007;2020;5660
001006;2019;6406
001006;2020;6426
024003;2019;1624
024003;2020;1594
025072;2019;6856
025072;2020;6791
001007;2019;246
001007;2020;248
001008;2019;16991
001008;2020;16945
033002;2019;4666
033002;2020;4662
013006;2019;1263
013006;2020;1286
033049;2019;3005
033049;2020;2964
013253;2019;2920
013253;2020;2895
072004;2019;70008
072004;2020;69999
009005;2019;2000
009005;2020;1994
022235;2019;1615
022235;2020;1611
064002;2019;4105
064002;2020;4092
082004;2019;8342
082004;2020;8305
006007;2019;429
006007;2020;423
065005;2019;7024
065005;2020;6996
024004;2019;11960
024004;2020;11886
109001;2019;3459
109001;2020;3497
078008;2019;693
078008;2020;680
069001;2019;3100
069001;2020;3093
024005;2019;2210
024005;2020;2148
026001;2019;6970
026001;2020;6996
004005;2019;129
004005;2020;137
037062;2019;6920
037062;2020;6953
002170;2019;157
002170;2020;151
082005;2019;9969
082005;2020;9884
078009;2019;4244
078009;2020;4204
046001;2019;15517
